"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4baa43","THY75N  ","Turkey","1650613379","1650613379","29.1542","41.2403","3528.06","False","141","8.6","-4.88","","3649.98","","False","0","1"
"4baa4a","THY5BU  ","Turkey","1650613379","1650613379","28.45","41.5479","1150.62","False","135.1","53.83","-5.53","","1272.54","4147","False","0","1"
"4bb10f","TCLHO   ","Turkey","1650613379","1650613379","27.4668","37.8764","3634.74","False","196.65","194.55","-9.75","","3794.76","","False","0","3"
"4baa92","THY3190 ","Turkey","1650613379","1650613379","30.5564","40.5222","11109.96","False","248.61","105.36","4.23","","11300.46","","False","0","4"
"4bb188","THY800  ","Turkey","1650613379","1650613380","27.5026","41.9046","7277.1","False","220.29","307.22","6.5","","7482.84","2343","False","0","0"
"8963de","UAE72JH ","United Arab Emirates","1650613212","1650613216","33.6128","41.5884","10363.2","False","223.69","288.64","0","","10538.46","","False","0","6"
"4baa8e","THY7ZA  ","Turkey","1650613204","1650613371","28.6983","41.1542","1463.04","False","131.81","222.47","11.7","","1424.94","","False","0","4"
"4baa8a","THY8WB  ","Turkey","1650613378","1650613378","33.2781","39.5435","10965.18","False","206.19","325.68","0","","11178.54","","False","0","4"
"4baa63","THY6PM  ","Turkey","1650613379","1650613379","25.707","42.6812","8877.3","False","224.46","131.66","-7.48","","9067.8","7716","False","0","1"
"4bb154","THY6689 ","Turkey","1650613377","1650613379","31.5849","41.9465","10363.2","False","221.68","254.38","0.33","","10538.46","","False","0","0"
"4baa75","THY49KB ","Turkey","1650613378","1650613379","28.7791","43.1281","7620","False","229.45","180.51","0","","7795.26","","False","0","1"
"4bb163","THY721  ","Turkey","1650613379","1650613379","29.0624","41.3558","2491.74","False","141.75","332.32","-8.78","","2621.28","","False","0","1"
"4bb161","THY717  ","Turkey","1650613379","1650613379","29.3707","40.9437","5311.14","False","148.36","267.02","-5.85","","5516.88","","False","0","1"
"4a0663","ROT262B ","Romania","1650613379","1650613379","28.7194","41.1916","1257.3","False","99.22","218.47","6.18","","1333.5","","False","0","1"
"4bbcb5","TCOEU   ","Turkey","1650613217","1650613218","28.2973","41.4825","1059.18","False","47.69","20.19","-2.93","","1127.76","","False","0","0"
"45d064","VKG1192 ","Denmark","1650613378","1650613379","26.665","41.7694","8839.2","False","235.8","144.68","0","","9029.7","7627","False","0","4"
"4baa08","THY39KU ","Turkey","1650613133","1650613136","28.7528","41.465","1089.66","False","95.7","179.08","-4.23","","1165.86","","False","0","1"
"4baa09","THY1WZ  ","Turkey","1650613379","1650613379","29.2855","41.4741","3139.44","False","123.75","293.26","-2.93","","3261.36","","False","0","1"
"4ac98d","SWN4093 ","Sweden","1650613379","1650613379","25.4252","37.1843","10050.78","False","249.76","110.75","0","","10332.72","7432","False","0","0"
"4bb070","THY52R  ","Turkey","1650613379","1650613379","29.1042","41.5497","2232.66","False","119.74","289.06","-4.55","","2331.72","","False","0","0"
"4bb06b","THY538  ","Turkey","1650613379","1650613379","27.9677","41.1018","3185.16","False","173.73","64.57","-4.55","","3322.32","2303","False","0","0"
"70606a","KAC167  ","Kuwait","1650613379","1650613379","28.9886","42.2487","11590.02","False","213.03","304.07","0","","11727.18","","False","0","0"
"4bcdf2","SXS3BL  ","Turkey","1650613374","1650613378","30.7574","38.4479","9814.56","False","226.21","352.55","8.78","","10043.16","","False","0","0"
"4bcdf0","SXS47K  ","Turkey","1650613379","1650613379","27.6016","42.0995","11178.54","False","209.17","315.3","2.6","","11346.18","3230","False","0","0"
"4bcded","SXS11E  ","Turkey","1650613379","1650613379","25.3127","44.2837","11582.4","False","208.18","322.03","-0.33","","11681.46","3275","False","0","0"
"4bcdd6","SXS9PJ  ","Turkey","1650613379","1650613379","27.1041","39.003","6918.96","False","172.93","186.49","-13.98","","7185.66","7646","False","0","1"
"4bcde5","SXS2AY  ","Turkey","1650613379","1650613379","25.0355","42.9262","10972.8","False","200","298.08","0","","11094.72","3275","False","0","4"
"60084f","AHY075  ","Azerbaijan","1650613284","1650613284","28.8477","41.6073","1394.46","False","119.92","271.72","-3.58","","1562.1","","False","0","1"
"4b9907","FHY660  ","Turkey","1650613379","1650613379","30.9225","35.8037","7444.74","False","227.29","141.34","6.83","","7688.58","","False","0","0"
"4243c4","AZG5961 ","United Kingdom","1650613379","1650613379","28.3343","44.4448","9761.22","False","227.6","312.34","0.33","","9875.52","","False","0","6"
"4bccad","SXS63R  ","Turkey","1650613378","1650613379","29.6992","40.0688","11582.4","False","209.88","338.28","0","","11780.52","","False","0","1"
"4b9856","FHY861  ","Turkey","1650613378","1650613379","25.8378","44.4741","1051.56","False","133.35","354.47","-10.73","","1112.52","6316","False","0","4"
"732542","IRA733  ","Islamic Republic of Iran","1650613316","1650613317","33.7868","41.9335","11582.4","False","207.65","287","0","","11719.56","","False","0","1"
"4bd439","TCUAY   ","Turkey","1650613187","1650613190","26.4159","39.9422","1440.18","False","49.18","285.78","0","","1508.76","3434","False","0","0"
"4d012b","CLX5951 ","Luxembourg","1650613379","1650613379","28.7258","42.8659","11277.6","False","266.79","126.85","0","","11384.28","2102","False","0","1"
"4bcd8d","TCSLM   ","Turkey","1650613379","1650613379","28.3998","41.3894","1219.2","False","57.76","287.63","1.63","","1310.64","","False","0","0"
"406f74","BAW156  ","United Kingdom","1650613379","1650613379","28.3636","35.431","12184.38","False","231.52","312.84","0","","12443.46","","False","0","6"
"485122","","Kingdom of the Netherlands","1650613353","1650613353","26.8885","37.6129","579.12","False","87.8","330.13","0.98","","624.84","","False","0","1"
"4b82d4","OR3192  ","Turkey","1650613131","1650613283","32.4598","39.8816","1470.66","False","52","295.8","0","","1577.34","","False","0","8"
"75046b","MAS7980 ","Malaysia","1650613379","1650613379","27.698","43.1672","12192","False","229.37","312.64","0","","12313.92","3224","False","0","1"
"3c70c5","GEC8430 ","Germany","1650613379","1650613379","25.7579","44.8048","9448.8","False","265.06","115.77","0.33","","9555.48","7653","False","0","1"
"4ba9cf","THY715E ","Turkey","1650613379","1650613379","29.8162","40.8447","6903.72","False","183.48","241.35","-8.13","","7117.08","","False","0","1"
"4b8344","","Turkey","1650613342","1650613379","29.0808","37.4107","4922.52","False","102.19","13.69","3.25","","5074.92","","False","0","0"
"71c005","KAL9575 ","Republic of Korea","1650613378","1650613378","29.5432","43.079","11582.4","False","224.21","311.19","0","","11704.32","","False","0","0"
"4bcc67","THY83G  ","Turkey","1650613379","1650613379","27.3653","39.4358","9075.42","False","195.85","8","4.88","","9304.02","0712","False","0","1"
