"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4baa45","THY3138 ","Turkey","1654025306","1654025307","29.2531","39.7614","10363.2","False","231.22","333.43","0","","10728.96","","False","0","1"
"4baa41","THY3134 ","Turkey","1654025307","1654025307","27.7961","41.947","10972.8","False","223.27","317.9","-0.33","","11308.08","2650","False","0","1"
"4baa48","THY4KU  ","Turkey","1654025307","1654025307","26.6839","41.9937","8397.24","False","215.8","110.08","-5.2","","8724.9","7365","False","0","1"
"4baa55","THY7DV  ","Turkey","1654025307","1654025307","29.891","40.7632","7734.3","False","231.15","101.69","5.2","","8046.72","","False","0","1"
"4baa52","THY1LR  ","Turkey","1654025307","1654025307","26.1443","42.5733","9753.6","False","222.25","270.66","0","","10066.02","1742","False","0","1"
"4baa89","THY3DB  ","Turkey","1654025306","1654025306","29.2824","41.0476","2788.92","False","139.16","237.84","-5.2","","2948.94","7120","False","0","4"
"4baa86","THY4TQ  ","Turkey","1654025307","1654025307","28.0544","42.763","10058.4","False","237.42","141.86","0","","10401.3","4533","False","0","0"
"4baa87","THY54Q  ","Turkey","1654025307","1654025307","27.0619","41.8367","8313.42","False","223.22","121.24","-8.78","","8648.7","6420","False","0","1"
"8963ca","ABY287  ","United Arab Emirates","1654025152","1654025152","28.7574","41.2262","297.18","False","71.52","359.18","-4.23","","411.48","","False","0","1"
"4baa8f","THY81TX ","Turkey","1654025306","1654025307","27.8047","42.7961","10675.62","False","234.27","134.82","0.33","","11018.52","1440","False","0","4"
"4baa8d","THY8KN  ","Turkey","1654025307","1654025307","26.8417","41.9368","9197.34","False","234.87","121.57","-13.66","","9563.1","7120","False","0","4"
"4baa8a","THY1UT  ","Turkey","1654025307","1654025307","28.6439","42.5344","6926.58","False","176.86","168.59","-7.8","","7216.14","7362","False","0","4"
"4baa62","THY3652 ","Turkey","1654025307","1654025307","25.7734","42.5526","9753.6","False","225.29","275.37","0","","10096.5","1740","False","0","1"
"4baa61","THY3158 ","Turkey","1654025307","1654025307","28.2027","41.6478","10363.2","False","231.72","315.09","0.33","","10713.72","6315","False","0","1"
"4baa4f","THY3154 ","Turkey","1654025307","1654025308","25.6608","43.9998","10378.44","False","220.08","315.28","-1.3","","10706.1","1733","False","0","1"
"4baa5a","THY90Q  ","Turkey","1654025306","1654025307","27.9617","41.3871","3924.3","False","189.86","142.04","-8.13","","4122.42","4151","False","0","1"
"4baa75","THY7QJ  ","Turkey","1654025307","1654025307","25.7618","44.0828","10668","False","239.17","131.16","0","","11003.28","4225","False","0","1"
"4baa72","THY4QZ  ","Turkey","1654025307","1654025307","29.6876","40.8664","3848.1","False","167.23","268.77","-8.78","","4046.22","","False","0","1"
"4baa6d","THY5TH  ","Turkey","1654025307","1654025307","29.2973","41.344","3048","False","140.56","177.69","-1.63","","3208.02","2666","False","0","1"
"4baa79","THY1ZN  ","Turkey","1654025307","1654025307","27.7697","41.4777","5265.42","False","169.19","75.92","-6.83","","5516.88","4303","False","0","0"
"896531","FDB1830 ","United Arab Emirates","1654025306","1654025306","31.5911","41.8471","11887.2","False","235.01","110.1","0","","12237.72","5570","False","0","0"
"4baa08","THY8TE  ","Turkey","1654025307","1654025307","32.3074","36.6293","10584.18","False","223.09","327.81","3.58","","10995.66","","False","0","1"
"4baa12","THY2PF  ","Turkey","1654025307","1654025307","29.7708","39.014","10553.7","False","234.89","4.77","-5.2","","10957.56","","False","0","1"
"4b8750","PGT870  ","Turkey","1654025296","1654025296","34.2545","39.9041","10660.38","False","228.62","87.55","0","","11049","","False","0","1"
"4baa14","THY49DC ","Turkey","1654025307","1654025307","27.5181","41.5866","5737.86","False","201.25","127.1","-10.73","","6027.42","6050","False","0","1"
"4064bb","EXS8CK  ","United Kingdom","1654025307","1654025307","26.8787","37.0004","7421.88","False","177.55","147.78","-8.13","","7749.54","2150","False","0","1"
"400432","EXS28RT ","United Kingdom","1654025307","1654025307","28.4487","39.5724","10668","False","222","150.88","0","","11026.14","4724","False","0","1"
"4bb068","THY5VG  ","Turkey","1654025307","1654025307","26.0691","41.2186","9677.4","False","231.19","114.17","-6.18","","10043.16","1250","False","0","0"
